Id,SponsorName,SponsorTitle,Constituency,Political Affiliation,Code,Title,LatestStageName,ParliamentNumber,SessionNumber,BillType,ReceivedRoyalAssent,Ongoing,ReadingsPassed,BillOrigin,FirstStageDate,LastStageDate,TimeAlive
44-1/S-1,Yuen Pau Woo,Senator,None,,S-1,An Act relating to railways,First reading in the Senate,44,1,Senate Public Bill,False,True,1,IsSenateBill,2021-11-22,2021-11-22,0 days
43-2/S-1,Marc Gold,Senator,None,,S-1,An Act relating to railways,First reading in the Senate,43,2,Senate Public Bill,False,False,1,IsSenateBill,2020-09-22,2020-09-22,0 days
43-1/S-1,Joseph Day,Senator,None,,S-1,An Act relating to railways,First reading in the Senate,43,1,Senate Public Bill,False,False,1,IsSenateBill,2019-12-04,2019-12-04,0 days
42-1/S-1,Yonah Martin,Senator,None,,S-1,An Act relating to railways,First reading in the Senate,42,1,Senate Public Bill,False,False,1,IsSenateBill,2015-12-03,2015-12-03,0 days
41-2/S-1,Claude Carignan,Leader of the Government in the Senate,None,,S-1,An Act relating to railways,First reading in the Senate,41,2,Senate Government Bill,False,False,1,IsSenateBill,2013-10-15,2013-10-15,0 days
41-1/S-1,None,Leader of the Government in the Senate,None,,S-1,An Act relating to railways,First reading in the Senate,41,1,Senate Government Bill,False,False,1,IsSenateBill,2011-06-02,2011-06-02,0 days
40-3/S-1,None,Leader of the Government in the Senate,None,,S-1,An Act relating to railways,First reading in the Senate,40,3,Senate Government Bill,False,False,1,IsSenateBill,2010-03-02,2010-03-02,0 days
40-2/S-1,None,Leader of the Government in the Senate,None,,S-1,An Act relating to railways,First reading in the Senate,40,2,Senate Government Bill,False,False,1,IsSenateBill,2009-01-25,2009-01-25,0 days
40-1/S-1,None,Leader of the Government in the Senate,None,,S-1,An Act relating to railways,First reading in the Senate,40,1,Senate Government Bill,False,False,1,IsSenateBill,2008-11-18,2008-11-18,0 days
39-2/S-1,None,Leader of the Government in the Senate,None,,S-1,An Act relating to railways,First reading in the Senate,39,2,Senate Government Bill,False,False,1,IsSenateBill,2007-10-15,2007-10-15,0 days
39-1/S-1,None,Leader of the Government in the Senate,None,,S-1,An Act relating to Railways,First reading in the Senate,39,1,Senate Government Bill,False,False,1,IsSenateBill,2006-04-03,2006-04-03,0 days
38-1/S-1,William Rompkey,Senator,None,,S-1,An Act relating to railways,First reading in the Senate,38,1,Senate Government Bill,False,False,1,IsSenateBill,2004-10-04,2004-10-04,0 days
37-3/S-1,William Rompkey,Senator,None,,S-1,An Act relating to railways,First reading in the Senate,37,3,Senate Government Bill,False,False,1,IsSenateBill,2004-02-01,2004-02-01,0 days
37-2/S-1,None,Leader of the Government in the Senate,None,,S-1,An Act relating to railways,First reading in the Senate,37,2,Senate Government Bill,False,False,1,IsSenateBill,2002-09-29,2002-09-29,0 days
37-1/S-1,None,Leader of the Government in the Senate,None,,S-1,An Act relating to railways,First reading in the Senate,37,1,Senate Government Bill,False,False,1,IsSenateBill,2001-01-29,2001-01-29,0 days
36-2/S-1,Daniel Hays,Senator,None,,S-1,An Act relating to railways,First reading in the Senate,36,2,Senate Government Bill,False,False,1,IsSenateBill,1999-10-11,1999-10-11,0 days
35-2/S-1,None,Leader of the Government in the Senate,None,,S-1,An Act relating to railways,First reading in the Senate,35,2,Senate Government Bill,False,False,1,IsSenateBill,1996-02-26,1996-02-26,0 days
44-1/S-2,Marc Gold,Senator,None,,S-2,An Act to amend the Parliament of Canada Act and to make consequential and related amendments to other Acts,Third reading in the Senate,44,1,Senate Government Bill,False,True,3,IsSenateBill,2021-11-23,2021-12-07,14 days
43-2/S-2,Marc Gold,Senator,None,,S-2,An Act to amend the Chemical Weapons Convention Implementation Act,First reading in the House of Commons,43,2,Senate Government Bill,False,False,4,IsSenateBill,2020-10-26,2021-02-25,122 days
42-1/S-2,Peter Harder,Senator,None,,S-2,Strengthening Motor Vehicle Safety for Canadians Act,Royal assent,42,1,Senate Government Bill,True,False,6,IsSenateBill,2016-05-10,2018-02-28,659 days
41-2/S-2,Claude Carignan,Leader of the Government in the Senate,None,,S-2,Incorporation by Reference in Regulations Act,Third reading in the House of Commons,41,2,Senate Government Bill,True,False,6,IsSenateBill,2013-10-21,2015-06-18,605 days
41-1/S-2,None,Leader of the Government in the Senate,None,,S-2,Family Homes on Reserves and Matrimonial Interests or Rights Act,Royal assent,41,1,Senate Government Bill,True,False,6,IsSenateBill,2011-09-27,2013-06-18,630 days
40-3/S-2,None,Leader of the Government in the Senate,None,,S-2,Protecting Victims From Sex Offenders Act,Royal assent,40,3,Senate Government Bill,True,False,6,IsSenateBill,2010-03-16,2010-12-14,273 days
40-2/S-2,None,Leader of the Government in the Senate,None,,S-2,An Act to amend the Customs Act,Royal assent,40,2,Senate Government Bill,True,False,6,IsSenateBill,2009-01-28,2009-06-11,134 days
40-1/S-2,None,Leader of the Government in the Senate,None,,S-2,An Act to amend the Customs Act,First reading in the Senate,40,1,Senate Government Bill,False,False,1,IsSenateBill,2008-12-01,2008-12-01,0 days
39-2/S-2,None,Leader of the Government in the Senate,None,,S-2,"An Act to amend the Canada-United States Tax Convention Act, 1984",Royal assent,39,2,Senate Government Bill,True,False,6,IsSenateBill,2007-10-17,2007-12-14,58 days
39-1/S-2,None,Leader of the Government in the Senate,None,,S-2,An Act to amend the Hazardous Materials Information Review Act,Royal assent,39,1,Senate Government Bill,True,False,6,IsSenateBill,2006-04-24,2007-03-29,339 days
38-1/S-2,Noël Kinsella,Senator,None,,S-2,An Act to amend the Citizenship Act,Royal assent,38,1,Senate Public Bill,True,False,6,IsSenateBill,2004-10-05,2005-05-05,212 days
37-3/S-2,Donald Oliver,Senator,None,,S-2,Spam Control Act,Second reading in the Senate,37,3,Senate Public Bill,False,False,2,IsSenateBill,2004-02-02,2004-03-22,49 days
37-2/S-2,None,Leader of the Government in the Senate,None,,S-2,"Tax Conventions Implementation Act, 2002",Royal assent,37,2,Senate Government Bill,True,False,6,IsSenateBill,2002-10-01,2002-12-11,71 days
37-1/S-2,None,Leader of the Government in the Senate,None,,S-2,Marine Liability Act,Royal assent,37,1,Senate Government Bill,True,False,6,IsSenateBill,2001-01-30,2001-05-09,99 days
36-2/S-2,Sharon Carstairs,Senator,None,,S-2,Medical Decisions Facilitation Act,Second reading in the Senate,36,2,Senate Public Bill,False,False,2,IsSenateBill,1999-10-12,2000-02-22,133 days
36-1/S-2,None,Leader of the Government in the Senate,None,,S-2,An Act to amend the Canadian Transportation Accident Investigation and Safety Board Act and to make a consequential amendment to another Act,Royal assent,36,1,Senate Government Bill,True,False,6,IsSenateBill,1997-09-29,1998-06-17,261 days
35-2/S-2,Noël Kinsella,Senator,None,,S-2,An Act to amend the Canadian Human Rights Act (Sexual orientation),Third reading in the Senate,35,2,Senate Public Bill,False,False,3,IsSenateBill,1996-02-27,1996-04-23,56 days
35-1/S-2,None,Leader of the Government in the Senate,None,,S-2,"An Act to implement a Convention between Canada and the Republic of Hungary, an agreement between Canada and the Federal Republic of Nigeria, an agreement between Canada and the Republic of Zimbabwe, a convention between Canada and the Argentine Republic and a protocol between Canada and the Kingdom of the Netherlands for the avoidance of double Taxation and the prevention of fiscal evasion with respect to income taxes and to make related amendments to other Acts",Royal assent,35,1,Senate Government Bill,True,False,6,IsSenateBill,1994-02-07,1994-06-14,127 days
44-1/S-3,Marc Gold,Senator,None,,S-3,An Act to amend the Judges Act,First reading in the Senate,44,1,Senate Government Bill,False,True,1,IsSenateBill,2021-11-30,2021-11-30,0 days
43-2/S-3,Marc Gold,Senator,None,,S-3,An Act to amend the Offshore Health and Safety Act,Royal assent,43,2,Senate Government Bill,True,False,6,IsSenateBill,2020-11-30,2021-06-02,184 days
42-1/S-3,Peter Harder,Senator,None,,S-3,An Act to amend the Indian Act in response to the Superior Court of Quebec decision in Descheneaux c. Canada (Procureur général),Royal assent,42,1,Senate Government Bill,True,False,6,IsSenateBill,2016-10-24,2017-12-11,413 days
41-2/S-3,Claude Carignan,Leader of the Government in the Senate,None,,S-3,Port State Measures Agreement Implementation Act,Royal assent,41,2,Senate Government Bill,True,False,6,IsSenateBill,2013-10-22,2015-06-17,603 days
41-1/S-3,None,Leader of the Government in the Senate,None,,S-3,"Federal Law–Civil Law Harmonization Act, No. 3",Royal assent,41,1,Senate Government Bill,True,False,6,IsSenateBill,2011-09-28,2011-11-28,61 days
40-3/S-3,None,Leader of the Government in the Senate,None,,S-3,"Tax Conventions Implementation Act, 2010",Royal assent,40,3,Senate Government Bill,True,False,6,IsSenateBill,2010-03-22,2010-12-14,267 days
40-2/S-3,None,Leader of the Government in the Senate,None,,S-3,An Act to amend the Energy Efficiency Act,Royal assent,40,2,Senate Government Bill,True,False,6,IsSenateBill,2009-01-28,2009-05-14,106 days
39-2/S-3,None,Leader of the Government in the Senate,None,,S-3,An Act to amend the Criminal Code (investigative hearing and recognizance with conditions),First reading in the House of Commons,39,2,Senate Government Bill,False,False,4,IsSenateBill,2007-10-22,2008-03-07,137 days
39-1/S-3,None,Leader of the Government in the Senate,None,,S-3,"An Act to amend the National Defence Act, the Criminal Code, the Sex Offender Information Registration Act and the Criminal Records Act",Royal assent,39,1,Senate Government Bill,True,False,6,IsSenateBill,2006-04-24,2007-03-29,339 days
38-1/S-3,Jean-Robert Gauthier,Senator,None,,S-3,An Act to amend the Official Languages Act (promotion of English and French),Royal assent,38,1,Senate Public Bill,True,False,6,IsSenateBill,2004-10-05,2005-11-24,415 days
37-3/S-3,Donald Oliver,Senator,None,,S-3,An Act to amend the Constitution Act 1867 and the Parliament of Canada Act (Speakership of the Senate),First reading in the Senate,37,3,Senate Public Bill,False,False,1,IsSenateBill,2004-02-02,2004-02-02,0 days
37-2/S-3,Vivienne Poy,Senator,None,,S-3,An Act to amend the National Anthem Act to include all Canadians,Second reading in the Senate,37,2,Senate Public Bill,False,False,2,IsSenateBill,2002-10-01,2003-06-09,251 days
37-1/S-3,None,Leader of the Government in the Senate,None,,S-3,Motor Vehicle Transport Act,Royal assent,37,1,Senate Government Bill,True,False,6,IsSenateBill,2001-01-30,2001-06-13,134 days
36-2/S-3,None,Leader of the Government in the Senate,None,,S-3,"The Income Tax Conventions Implementation Act, 1999",Royal assent,36,2,Senate Government Bill,True,False,6,IsSenateBill,1999-11-01,2000-06-28,240 days
36-1/S-3,None,Leader of the Government in the Senate,None,,S-3,"An Act to amend the Pension Benefits Standards Act, 1985 and the Office of the Superintendent of Financial Institutions Act",Royal assent,36,1,Senate Government Bill,True,False,6,IsSenateBill,1997-09-29,1998-06-10,254 days
35-2/S-3,Anne Cools,Senator,None,,S-3,An Act to amend the Criminal Code  (plea bargaining),Second reading in the Senate,35,2,Senate Public Bill,False,False,2,IsSenateBill,1996-02-27,1996-05-01,64 days
35-1/S-3,Normand Grimard,Senator,None,,S-3,An Act to authorize General Security Insurance Company of Canada to be continued as a corporation under the laws of the Province of Quebec,Royal assent,35,1,Senate Private Bill,True,False,6,IsSenateBill,1994-02-08,1994-06-22,134 days
