Session,Start Date,End Date,Duration,Senate Sitings,House of Commons Sittings
Parliament: 44,,,,,
1,2021-11-22,,410 days,95,150
Parliament: 43,,,,,
2,2020-09-23,2021-08-15,326 days,56,124
1,2019-12-05,2020-08-18,257 days,29,45
Parliament: 42,,,,,
1,2015-12-03,2019-09-11,1378 days,308,442
Parliament: 41,,,,,
2,2013-10-16,2015-08-02,655 days,162,235
1,2011-06-02,2013-09-13,834 days,181,272
Parliament: 40,,,,,
3,2010-03-03,2011-03-26,388 days,99,149
2,2009-01-26,2009-12-30,338 days,83,128
1,2008-11-18,2008-12-04,16 days,8,13
Parliament: 39,,,,,
2,2007-10-16,2008-09-07,327 days,73,117
1,2006-04-03,2007-09-14,529 days,113,175
Parliament: 38,,,,,
1,2004-10-04,2005-11-29,421 days,100,159
Parliament: 37,,,,,
3,2004-02-02,2004-05-23,111 days,42,55
2,2002-09-30,2003-11-12,408 days,97,153
1,2001-01-29,2002-09-16,595 days,124,211
Parliament: 36,,,,,
2,1999-10-12,2000-10-22,376 days,84,133
1,1997-09-22,1999-09-18,726 days,158,243
Parliament: 35,,,,,
2,1996-02-27,1997-04-27,425 days,96,164
1,1994-01-17,1996-02-02,746 days,133,278
Parliament: 34,,,,,
3,1991-05-13,1993-09-08,849 days,160,269
2,1989-04-03,1991-05-12,769 days,182,305
1,1988-12-12,1989-02-28,78 days,7,11
Parliament: 33,,,,,
2,1986-09-30,1988-10-01,732 days,194,389
1,1984-11-05,1986-08-28,661 days,158,308
Parliament: 32,,,,,
2,1983-12-07,1984-07-09,215 days,54,116
1,1980-04-14,1983-11-30,1325 days,329,591
Parliament: 31,,,,,
1,1979-10-09,1979-12-14,66 days,31,49
Parliament: 30,,,,,
4,1978-10-11,1979-03-26,166 days,66,98
3,1977-10-18,1978-10-10,357 days,93,151
2,1976-10-12,1977-10-17,370 days,103,175
1,1974-09-30,1976-10-12,743 days,216,343
Parliament: 29,,,,,
2,1974-02-27,1974-05-09,71 days,31,50
1,1973-01-04,1974-02-26,418 days,110,206
Parliament: 28,,,,,
4,1972-02-17,1972-09-01,197 days,47,91
3,1970-10-08,1972-02-16,496 days,138,244
2,1969-10-23,1970-10-07,349 days,84,155
1,1968-09-12,1969-10-22,405 days,97,198
Parliament: 27,,,,,
2,1967-05-08,1968-04-23,351 days,61,155
1,1966-01-18,1967-05-08,475 days,117,250
Parliament: 26,,,,,
3,1965-04-05,1965-09-08,156 days,23,53
2,1964-02-18,1965-04-03,410 days,106,248
1,1963-05-16,1963-12-21,219 days,78,117
Parliament: 25,,,,,
1,1962-09-27,1963-02-06,132 days,43,72
Parliament: 24,,,,,
5,1962-01-18,1962-04-19,91 days,40,65
4,1960-11-17,1961-09-29,316 days,91,174
3,1960-01-14,1960-08-10,209 days,87,146
2,1959-01-15,1959-07-18,184 days,75,127
1,1958-05-12,1958-09-06,117 days,59,93
Parliament: 23,,,,,
1,1957-10-14,1958-02-01,110 days,45,78
Parliament: 22,,,,,
5,1957-01-08,1957-04-12,94 days,46,71
4,1956-11-26,1957-01-08,43 days,3,5
3,1956-01-10,1956-08-14,217 days,78,152
2,1955-01-07,1955-07-28,202 days,79,140
1,1953-11-12,1954-06-26,226 days,77,139
Parliament: 21,,,,,
7,1952-11-20,1953-05-14,175 days,57,108
6,1952-02-28,1952-11-20,266 days,60,87
5,1951-10-09,1951-12-29,81 days,35,56
4,1951-01-30,1951-10-09,252 days,61,105
3,1950-08-29,1951-01-29,153 days,14,17
2,1950-02-16,1950-06-30,134 days,65,90
1,1949-09-15,1949-12-10,86 days,43,64
Parliament: 20,,,,,
5,1949-01-26,1949-04-30,94 days,39,59
4,1947-12-05,1948-06-30,208 days,69,119
